"Municipio";"Populacao_residente"
"170770 FILADELFIA";7823
"170820 FORMOSO DO ARAGUAIA";19428
"170825 FORTALEZA DO TABOCAO";3676
"170830 GOIANORTE";4840
"170900 GOIATINS";12816
"170930 GUARAI";25681
"170950 GURUPI";89574
"170980 IPUEIRAS";1627
"171050 ITACAJA";6969
"171070 ITAGUATINS";5206
"171090 ITAPIRATINS";3679
"171110 ITAPORA DO TOCANTINS";2464
"171150 JAU DO TOCANTINS";3403
"171180 JUARINA";2305
"171190 LAGOA DA CONFUSAO";16312
"171195 LAGOA DO TOCANTINS";3610
"171200 LAJEADO";3520
"171215 LAVANDEIRA";1673
"171240 LIZARDA";2991
"171245 LUZINOPOLIS";2803
"171250 MARIANOPOLIS DO TOCANTINS";4772
"171270 MATEIROS";2888
"171280 MAURILANDIA DO TOCANTINS";3171
"171320 MIRACEMA DO TOCANTINS";18787
"171330 MIRANORTE";13056
"171360 MONTE DO CARMO";5722
"171370 MONTE SANTO DO TOCANTINS";2500
"171380 PALMEIRAS DO TOCANTINS";4897
"171395 MURICILANDIA";3485
"171420 NATIVIDADE";8961
"171430 NAZARE";4660
"171488 NOVA OLINDA";10609
"171500 NOVA ROSALANDIA";3403
"171510 NOVO ACORDO";4102
"171515 NOVO ALEGRE";1841
"171525 NOVO JARDIM";2263
"171550 OLIVEIRA DE FATIMA";1211
"171570 PALMEIRANTE";4909
"171575 PALMEIROPOLIS";7119
"171610 PARAISO DO TOCANTINS";55164
"171620 PARANA";10854
"171630 PAU D'ARCO";4085
"171650 PEDRO AFONSO";14731
"171660 PEIXE";9438
"171665 PEQUIZEIRO";5038
"171670 COLMEIA";9158
"171700 PINDORAMA DO TOCANTINS";4596
"171720 PIRAQUE";2265
"171750 PIUM";7375
"171780 PONTE ALTA DO BOM JESUS";4295
"171790 PONTE ALTA DO TOCANTINS";7842
"171800 PORTO ALEGRE DO TOCANTINS";2953
"171820 PORTO NACIONAL";68555
"171830 PRAIA NORTE";9460
"171840 PRESIDENTE KENNEDY";3051
"171845 PUGMIL";2231
"171850 RECURSOLANDIA";3471
"171855 RIACHINHO";4039
"171865 RIO DA CONCEICAO";1822
"171870 RIO DOS BOIS";2833
"171875 RIO SONO";4798
"171880 SAMPAIO";4372
"171884 SANDOLANDIA";3873
"171886 SANTA FE DO ARAGUAIA";7489
"171888 SANTA MARIA DO TOCANTINS";2726
"171889 SANTA RITA DO TOCANTINS";2291
"171890 SANTA ROSA DO TOCANTINS";4789
"171900 SANTA TEREZA DO TOCANTINS";2889
"172000 SANTA TEREZINHA DO TOCANTINS";2463
"172010 SAO BENTO DO TOCANTINS";5936
"172015 SAO FELIX DO TOCANTINS";1875
"172020 SAO MIGUEL DO TOCANTINS";13939
"172025 SAO SALVADOR DO TOCANTINS";2385
"172030 SAO SEBASTIAO DO TOCANTINS";4189
"172049 SAO VALERIO";4547
"172065 SILVANOPOLIS";5252
"172080 SITIO NOVO DO TOCANTINS";11334
"172085 SUCUPIRA";1599
"172090 TAGUATINGA";14247
"172093 TAIPAS DO TOCANTINS";2086
"172097 TALISMA";2509
"172100 PALMAS";323625
"172110 TOCANTINIA";7751
"172120 TOCANTINOPOLIS";23203
"172125 TUPIRAMA";2003
"172130 TUPIRATINS";1897
"172208 WANDERLANDIA";10751
"172210 XAMBIOA";10683
"210005 ACAILANDIA";110506
"210010 AFONSO CUNHA";6296
"210015 AGUA DOCE DO MARANHAO";12446
"210020 ALCANTARA";18774
"210030 ALDEIAS ALTAS";23782
"210040 ALTAMIRA DO MARANHAO";6565
"210043 ALTO ALEGRE DO MARANHAO";24543
"210047 ALTO ALEGRE DO PINDARE";26411
"210050 ALTO PARNAIBA";11382
"210055 AMAPA DO MARANHAO";7364
"210060 AMARANTE DO MARANHAO";38333
"210070 ANAJATUBA";26221
"210080 ANAPURUS";14111
"210083 APICUM-ACU";17984
"210087 ARAGUANA";11347
"210090 ARAIOSES";40278
"210095 ARAME";26191
"210100 ARARI";30521
"210110 AXIXA";12079
"210120 BACABAL";107620
"210125 BACABEIRA";17414
"210130 BACURI";16610
"210135 BACURITUBA";5374
"210140 BALSAS";106094
"210150 BARAO DE GRAJAU";19458
"210160 BARRA DO CORDA";87672
"210170 BARREIRINHAS";67999
"210173 BELAGUA";8716
"210177 BELA VISTA DO MARANHAO";12073
"210180 BENEDITO LEITE";5597
"210190 BEQUIMAO";19983
"210193 BERNARDO DO MEARIM";5983
"210197 BOA VISTA DO GURUPI";7769
"210200 BOM JARDIM";34035
"210203 BOM JESUS DAS SELVAS";29588
"210207 BOM LUGAR";12414
"210210 BREJO";35322
"210215 BREJO DE AREIA";9387
"210220 BURITI";30799
"210230 BURITI BRAVO";22940
"210232 BURITICUPU";56896
"210235 BURITIRANA";13157
"210237 CACHOEIRA GRANDE";10004
"210240 CAJAPIO";10342
"210250 CAJARI";16711
"210255 CAMPESTRE DO MARANHAO";12553
"210260 CANDIDO MENDES";20413
"210270 CANTANHEDE";24976
"210275 CAPINZAL DO NORTE";11664
"210280 CAROLINA";24606
"210290 CARUTAPERA";24855
"210300 CAXIAS";163428
"210310 CEDRAL";10444
"210312 CENTRAL DO MARANHAO";7233
"210315 CENTRO DO GUILHERME";12668
